Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/12/13,E Michigan,95,Concordia MI,50,Win
11/12/13,Concordia MI,50,E Michigan,95,Loss
11/12/13,Lehigh,92,Rider,78,Win
11/12/13,Rider,78,Lehigh,92,Loss
11/12/13,East Carolina,85,UNC Greensboro,84,Win
11/12/13,UNC Greensboro,84,East Carolina,85,Loss
11/12/13,Hampton,64,St Peter's,59,Win
11/12/13,St Peter's,59,Hampton,64,Loss
11/12/13,MD E Shore,95,Salisbury St,55,Win
11/12/13,Salisbury St,55,MD E Shore,95,Loss
11/12/13,Penn,79,Monmouth NJ,73,Win
11/12/13,Monmouth NJ,73,Penn,79,Loss
11/12/13,Ball St,73,Taylor IN,53,Win
11/12/13,Taylor IN,53,Ball St,73,Loss
11/12/13,Manhattan,71,Columbia,70,Win
11/12/13,Columbia,70,Manhattan,71,Loss
11/12/13,Pittsburgh,75,Fresno St,54,Win
11/12/13,Fresno St,54,Pittsburgh,75,Loss
11/12/13,Harvard,79,MIT,37,Win
11/12/13,MIT,37,Harvard,79,Loss
11/12/13,Michigan,93,S Carolina St,59,Win
11/12/13,S Carolina St,59,Michigan,93,Loss
11/12/13,VA Commonwealth,59,Virginia,56,Win
11/12/13,Virginia,56,VA Commonwealth,59,Loss
11/12/13,Robert Morris,90,Lafayette,81,Win
11/12/13,Lafayette,81,Robert Morris,90,Loss
11/12/13,Albany NY,71,NJIT,65,Win
11/12/13,NJIT,65,Albany NY,71,Loss
11/12/13,Vermont,77,Siena,66,Win
11/12/13,Siena,66,Vermont,77,Loss
11/12/13,Marquette,114,Grambling,71,Win
11/12/13,Grambling,71,Marquette,114,Loss
11/13/13,IL Chicago,87,Roosevelt,65,Win
11/13/13,Roosevelt,65,IL Chicago,87,Loss
11/13/13,Louisiana Tech,106,Centenary,59,Win
11/13/13,Centenary,59,Louisiana Tech,106,Loss
11/13/13,UNC Wilmington,80,Charleston So,78,Win
11/13/13,Charleston So,78,UNC Wilmington,80,Loss
11/13/13,E Illinois,67,Olivet Naz,60,Win
11/13/13,Olivet Naz,60,E Illinois,67,Loss
11/13/13,Arkansas St,72,TN Martin,62,Win
11/13/13,TN Martin,62,Arkansas St,72,Loss
11/13/13,Oklahoma,85,Idaho,65,Win
11/13/13,Idaho,65,Oklahoma,85,Loss
11/13/13,Stony Brook,73,Northeastern,66,Win
11/13/13,Northeastern,66,Stony Brook,73,Loss
11/13/13,St Joseph's PA,81,Marist,62,Win
11/13/13,Marist,62,St Joseph's PA,81,Loss
11/13/13,Seton Hall,78,Kent,76,Win
11/13/13,Kent,76,Seton Hall,78,Loss
11/13/13,Florida St,80,UCF,68,Win
11/13/13,UCF,68,Florida St,80,Loss
