Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/2/13,Coastal Car,Radford,62,52,Win
2/2/13,Radford,Coastal Car,52,62,Loss
2/2/13,Col Charleston,UNC Greensboro,81,59,Win
2/2/13,UNC Greensboro,Col Charleston,59,81,Loss
2/2/13,Colgate,Holy Cross,63,45,Win
2/2/13,Holy Cross,Colgate,45,63,Loss
2/2/13,Colorado St,Wyoming,65,46,Win
2/2/13,Wyoming,Colorado St,46,65,Loss
2/2/13,Norfolk St,Coppin St,80,70,Win
2/2/13,Coppin St,Norfolk St,70,80,Loss
2/2/13,Creighton,Bradley,75,58,Win
2/2/13,Bradley,Creighton,58,75,Loss
2/2/13,CS Bakersfield,Utah Valley,75,62,Win
2/2/13,Utah Valley,CS Bakersfield,62,75,Loss
2/2/13,Hawaii,CS Fullerton,77,75,Win
2/2/13,CS Fullerton,Hawaii,75,77,Loss
2/2/13,Dartmouth,Yale,71,62,Win
2/2/13,Yale,Dartmouth,62,71,Loss
2/2/13,Delaware,UNC Wilmington,71,56,Win
2/2/13,UNC Wilmington,Delaware,56,71,Loss
2/2/13,NC Central,Delaware St,54,43,Win
2/2/13,Delaware St,NC Central,43,54,Loss
2/2/13,Notre Dame,DePaul,79,71,Win
2/2/13,DePaul,Notre Dame,71,79,Loss
2/2/13,Drake,Indiana St,74,71,Win
2/2/13,Indiana St,Drake,71,74,Loss
2/2/13,Montana,E Washington,65,46,Win
2/2/13,E Washington,Montana,46,65,Loss
2/2/13,Edwardsville,E Illinois,49,45,Win
2/2/13,E Illinois,Edwardsville,45,49,Loss
2/2/13,Elon,Samford,77,66,Win
2/2/13,Samford,Elon,66,77,Loss
2/2/13,ETSU,Lipscomb,90,88,Win
2/2/13,Lipscomb,ETSU,88,90,Loss
2/2/13,Central Conn,F Dickinson,80,71,Win
2/2/13,F Dickinson,Central Conn,71,80,Loss
2/2/13,Middle Tenn St,FL Atlantic,73,56,Win
2/2/13,FL Atlantic,Middle Tenn St,56,73,Loss
2/2/13,Florida,Mississippi,78,64,Win
2/2/13,Mississippi,Florida,64,78,Loss
2/2/13,Florida Intl,ULM,76,73,Win
2/2/13,ULM,Florida Intl,73,76,Loss
2/2/13,Duke,Florida St,79,60,Win
2/2/13,Florida St,Duke,60,79,Loss
2/2/13,Citadel,Furman,84,79,Win
2/2/13,Furman,Citadel,79,84,Loss
2/2/13,La Salle,G Washington,80,71,Win
2/2/13,G Washington,La Salle,71,80,Loss
2/2/13,Ga Southern,Chattanooga,59,57,Win
2/2/13,Chattanooga,Ga Southern,57,59,Loss
2/2/13,Gardner Webb,Longwood,76,65,Win
2/2/13,Longwood,Gardner Webb,65,76,Loss
2/2/13,Georgetown,St John's,68,56,Win
2/2/13,St John's,Georgetown,56,68,Loss
2/2/13,Georgia St,Old Dominion,83,63,Win
2/2/13,Old Dominion,Georgia St,63,83,Loss
2/2/13,Hartford,Boston Univ,66,58,Win
2/2/13,Boston Univ,Hartford,58,66,Loss
2/2/13,Harvard,Brown,89,82,Win
2/2/13,Brown,Harvard,82,89,Loss
2/2/13,High Point,Presbyterian,78,68,Win
2/2/13,Presbyterian,High Point,68,78,Loss
2/2/13,Houston Bap,NJIT,66,57,Win
2/2/13,NJIT,Houston Bap,57,66,Loss
2/2/13,Savannah St,Howard,52,42,Win
2/2/13,Howard,Savannah St,42,52,Loss
2/2/13,Idaho,San Jose St,66,63,Win
2/2/13,San Jose St,Idaho,63,66,Loss
2/2/13,Cleveland St,IL Chicago,77,66,Win
2/2/13,IL Chicago,Cleveland St,66,77,Loss
2/2/13,Illinois St,S Illinois,83,47,Win
2/2/13,S Illinois,Illinois St,47,83,Loss
2/2/13,Indiana,Michigan,81,73,Win
2/2/13,Michigan,Indiana,73,81,Loss
2/2/13,Iowa St,Baylor,79,71,Win
2/2/13,Baylor,Iowa St,71,79,Loss
2/2/13,W Illinois,IUPUI,68,59,Win
2/2/13,IUPUI,W Illinois,59,68,Loss
2/2/13,FL Gulf Coast,Jacksonville,81,78,Win
2/2/13,Jacksonville,FL Gulf Coast,78,81,Loss
2/2/13,Jacksonville St,Morehead St,70,59,Win
2/2/13,Morehead St,Jacksonville St,59,70,Loss
2/2/13,George Mason,James Madison,74,63,Win
2/2/13,James Madison,George Mason,63,74,Loss
2/2/13,Oklahoma St,Kansas,85,80,Win
2/2/13,Kansas,Oklahoma St,80,85,Loss
2/2/13,Kent,E Michigan,77,62,Win
2/2/13,E Michigan,Kent,62,77,Loss
2/2/13,SF Austin,Lamar,65,51,Win
2/2/13,Lamar,SF Austin,51,65,Loss
2/2/13,Long Beach St,Cal Poly SLO,50,48,Win
2/2/13,Cal Poly SLO,Long Beach St,48,50,Loss
2/2/13,Robert Morris,Long Island,60,57,Win
2/2/13,Long Island,Robert Morris,57,60,Loss
2/2/13,Louisiana Tech,UT Arlington,64,51,Win
2/2/13,UT Arlington,Louisiana Tech,51,64,Loss
2/2/13,WI Green Bay,Loyola-Chicago,73,65,Win
2/2/13,Loyola-Chicago,WI Green Bay,65,73,Loss
